Provider,total_claims,num_inpatient_claims,num_outpatient_claims,total_claim_amount,avg_claim_amount,max_claim_amount,std_claim_amount,unique_patients,unique_physicians,avg_claim_duration,avg_patient_age,avg_num_diagnosis_codes,avg_num_procedure_codes,total_deductible_paid,claims_per_patient,claims_per_physician,inpatient_ratio,PotentialFraud
PRV51108,19,19,0,156000,8210.526315789473,22000,5633.027086038801,19,6,5.2631578947368425,71.89473684210526,7.578947368421052,0.3157894736842105,19224.0,1.0,3.1666666666666665,1.0,0
PRV51109,3,3,0,18000,6000.0,8000,2645.7513110645905,3,1,6.333333333333333,56.0,8.666666666666666,1.3333333333333333,3204.0,1.0,3.0,1.0,0
PRV51110,5,5,0,27000,5400.0,9000,2509.980079602227,5,3,10.2,67.6,9.4,0.8,5340.0,1.0,1.6666666666666667,1.0,0
PRV51111,132,0,132,54860,415.6060606060606,7010,886.0584799473751,85,4,2.462121212121212,72.70454545454545,2.840909090909091,0.0,200.0,1.5529411764705883,33.0,0.0,0
PRV51112,304,0,304,105250,346.2171052631579,4100,655.4920296194023,195,7,1.8453947368421053,71.28289473684211,2.651315789473684,0.0,810.0,1.558974358974359,43.42857142857143,0.0,0
PRV51113,132,0,132,46390,351.43939393939394,3300,712.566731923337,78,2,1.5454545454545454,71.32575757575758,2.75,0.007575757575757576,550.0,1.6923076923076923,66.0,0.0,0
PRV51114,262,0,262,76720,292.82442748091603,8200,708.7145287296077,160,5,1.1984732824427482,70.32442748091603,2.4732824427480917,0.0,560.0,1.6375,52.4,0.0,0
PRV51115,7,0,7,980,140.0,600,203.9607805437114,6,3,0.0,72.57142857142857,1.8571428571428572,0.0,20.0,1.1666666666666667,2.3333333333333335,0.0,0
PRV51117,12,0,12,1950,162.5,1400,390.8527972151524,10,4,1.75,68.41666666666667,2.3333333333333335,0.0,0.0,1.2,3.0,0.0,0
PRV51118,16,16,0,136000,8500.0,22000,5738.757124441959,16,4,4.25,67.1875,7.8125,0.875,14952.0,1.0,4.0,1.0,0
PRV51119,95,94,1,1080580,11374.526315789473,118000,16356.874653901614,81,8,6.042105263157895,74.86315789473684,8.031578947368422,0.7894736842105263,96985.0,1.1728395061728396,11.875,0.9894736842105263,1
PRV51120,7,7,0,52000,7428.571428571428,15000,4649.628761422531,7,1,4.142857142857143,60.857142857142854,9.142857142857142,0.7142857142857143,7476.0,1.0,7.0,1.0,0
PRV51121,7,6,1,81080,11582.857142857143,45000,15810.69439154578,7,3,5.571428571428571,66.42857142857143,6.714285714285714,0.7142857142857143,6408.0,1.0,2.3333333333333335,0.8571428571428571,0
PRV51122,7,0,7,1120,160.0,500,200.91457554559517,7,7,0.0,66.71428571428571,2.0,0.0,0.0,1.0,1.0,0.0,0
PRV51123,31,2,29,26910,868.0645161290323,5000,1317.6934882711753,28,21,2.4838709677419355,69.0,3.5161290322580645,0.03225806451612903,2176.0,1.1071428571428572,1.4761904761904763,0.06451612903225806,0
PRV51125,48,12,36,131310,2735.625,30000,5492.628292403432,32,36,2.4791666666666665,70.5,3.7916666666666665,0.20833333333333334,13096.0,1.5,1.3333333333333333,0.25,0
PRV51126,20,20,0,177000,8850.0,25000,6200.806399170997,14,2,6.5,69.9,8.05,0.7,21360.0,1.4285714285714286,10.0,1.0,1
PRV51128,50,5,45,102220,2044.4,29000,6147.383103435815,38,19,2.34,68.18,3.9,0.06,5340.0,1.3157894736842106,2.6315789473684212,0.1,0
PRV51129,96,0,96,22920,238.75,2000,364.57401241217923,65,54,1.3541666666666667,73.52083333333333,2.65625,0.0,480.0,1.476923076923077,1.7777777777777777,0.0,0
PRV51130,7,0,7,4970,710.0,3100,1110.8555261599054,7,2,2.857142857142857,61.857142857142854,2.857142857142857,0.0,0.0,1.0,3.5,0.0,0
PRV51131,8,0,8,1160,145.0,800,272.81600288210996,8,4,0.0,74.375,3.875,0.0,70.0,1.0,2.0,0.0,0
PRV51132,8,1,7,5330,666.25,4000,1376.0392176720216,6,5,1.75,73.875,2.375,0.125,1068.0,1.3333333333333333,1.6,0.125,0
PRV51134,15,0,15,7610,507.3333333333333,2900,862.0363488082546,12,3,2.6666666666666665,63.53333333333333,2.0,0.0,80.0,1.25,5.0,0.0,0
PRV51135,5,0,5,300,60.0,90,25.495097567963924,2,1,0.0,67.4,1.8,0.0,0.0,2.5,5.0,0.0,0
PRV51136,1,1,0,20000,20000.0,20000,0.0,1,1,2.0,71.0,9.0,2.0,1068.0,1.0,1.0,1.0,0
PRV51137,55,1,54,16050,291.8181818181818,6000,915.9756807969565,51,23,0.2,71.94545454545455,2.8363636363636364,0.01818181818181818,1348.0,1.0784313725490196,2.391304347826087,0.01818181818181818,0
PRV51138,26,1,25,13430,516.5384615384615,6000,1328.0751253078788,21,7,1.5384615384615385,72.46153846153847,2.8076923076923075,0.038461538461538464,1068.0,1.2380952380952381,3.7142857142857144,0.038461538461538464,0
PRV51139,43,7,36,52580,1222.7906976744187,14000,2617.7647003842944,42,34,2.4651162790697674,74.32558139534883,3.441860465116279,0.023255813953488372,7516.0,1.0238095238095237,1.2647058823529411,0.16279069767441862,0
PRV51140,487,47,440,453130,930.4517453798768,16000,2349.6109040529427,394,5,2.1047227926078027,72.85010266940452,3.1396303901437372,0.0513347022587269,50418.0,1.236040609137056,97.4,0.09650924024640657,0
PRV51141,71,0,71,19490,274.50704225352115,1900,409.52512126815634,37,8,1.732394366197183,74.50704225352112,2.9295774647887325,0.0,170.0,1.9189189189189189,8.875,0.0,0
PRV51142,51,7,44,104570,2050.392156862745,57000,8323.291887416734,38,15,1.9215686274509804,72.84313725490196,3.0588235294117645,0.11764705882352941,7536.0,1.3421052631578947,3.4,0.13725490196078433,0
PRV51143,77,0,77,20450,265.5844155844156,3300,515.6944564230928,68,26,0.987012987012987,72.15584415584415,2.5714285714285716,0.0,350.0,1.1323529411764706,2.9615384615384617,0.0,0
PRV51144,30,4,26,61220,2040.6666666666667,33000,6249.665885322264,29,14,1.8,76.6,3.2,0.1,4492.0,1.0344827586206897,2.142857142857143,0.13333333333333333,0
PRV51145,202,161,41,1606350,7952.227722772277,46000,8839.83473245615,161,37,4.900990099009901,73.04950495049505,6.856435643564357,0.6435643564356436,166748.0,1.2546583850931676,5.45945945945946,0.7970297029702971,1
PRV51146,352,162,190,1680910,4775.3125,57000,8277.428541756724,334,77,3.4232954545454546,74.08238636363636,5.0539772727272725,0.3181818181818182,171670.0,1.0538922155688624,4.571428571428571,0.4602272727272727,1
PRV51147,32,0,32,8860,276.875,3300,691.7319894014519,32,23,2.5,71.59375,2.65625,0.0,210.0,1.0,1.391304347826087,0.0,0
PRV51148,330,34,296,488660,1480.7878787878788,37000,4684.377189223393,263,60,1.8484848484848484,73.5909090909091,3.3727272727272726,0.09393939393939393,36294.0,1.2547528517110267,5.5,0.10303030303030303,1
PRV51149,148,116,32,1120680,7572.1621621621625,57000,8738.849185629124,136,25,4.6891891891891895,71.66891891891892,6.925675675675675,0.5608108108108109,123958.0,1.088235294117647,5.92,0.7837837837837838,1
PRV51151,233,22,211,201300,863.9484978540772,16000,2253.739963909391,225,97,1.6952789699570816,73.49356223175965,3.1502145922746783,0.060085836909871244,23298.0,1.0355555555555556,2.402061855670103,0.0944206008583691,0
PRV51152,83,0,83,25770,310.48192771084337,3300,645.3395846741914,39,3,1.7228915662650603,73.33734939759036,2.6867469879518073,0.0,500.0,2.128205128205128,27.666666666666668,0.0,0
PRV51153,87,4,83,71490,821.7241379310345,34000,3780.9243384717165,83,51,1.4022988505747127,72.58620689655173,2.7471264367816093,0.05747126436781609,4902.0,1.0481927710843373,1.7058823529411764,0.04597701149425287,0
PRV51154,161,0,161,45750,284.16149068322983,8100,796.7085092791241,147,3,1.3229813664596273,74.54658385093168,2.472049689440994,0.0,790.0,1.0952380952380953,53.666666666666664,0.0,0
PRV51155,115,0,115,26330,228.95652173913044,3300,483.3098129420105,110,1,1.0434782608695652,72.92173913043479,2.591304347826087,0.0,160.0,1.0454545454545454,115.0,0.0,0
PRV51156,542,0,542,140640,259.48339483394835,3300,533.4428603946388,425,3,1.367158671586716,73.33763837638377,2.474169741697417,0.0,1720.0,1.275294117647059,180.66666666666666,0.0,0
PRV51159,569,65,504,797790,1402.091388400703,57000,4299.032443396993,506,99,1.7398945518453428,74.0,3.0984182776801408,0.07381370826010544,70450.0,1.1245059288537549,5.747474747474747,0.11423550087873462,1
PRV51160,114,90,24,872020,7649.298245614035,57000,9433.836457117693,110,22,4.87719298245614,73.44736842105263,6.868421052631579,0.5877192982456141,96140.0,1.0363636363636364,5.181818181818182,0.7894736842105263,0
PRV51164,391,41,350,556980,1424.5012787723786,41000,4465.106159977628,334,7,1.659846547314578,73.11253196930946,3.104859335038363,0.06649616368286446,44548.0,1.1706586826347305,55.857142857142854,0.10485933503836317,0
PRV51165,98,26,72,329700,3364.285714285714,57000,8368.731936608088,97,62,2.4489795918367347,75.06122448979592,4.285714285714286,0.2653061224489796,28088.0,1.0103092783505154,1.5806451612903225,0.2653061224489796,0
PRV51166,5,1,4,24870,4974.0,22000,9586.413823740346,5,4,3.2,71.4,3.6,0.2,1068.0,1.0,1.25,0.2,0
PRV51167,190,0,190,51980,273.57894736842104,3300,546.3295820773889,182,22,1.7421052631578948,74.18947368421053,2.7157894736842105,0.0,410.0,1.043956043956044,8.636363636363637,0.0,0
PRV51168,87,9,78,80470,924.9425287356322,25000,3020.761059795954,86,14,0.7701149425287356,73.37931034482759,2.8045977011494254,0.06896551724137931,9782.0,1.0116279069767442,6.214285714285714,0.10344827586206896,0
PRV51169,77,0,77,19380,251.6883116883117,3300,512.5385803126962,74,51,1.4935064935064934,74.68831168831169,2.74025974025974,0.0,50.0,1.0405405405405406,1.5098039215686274,0.0,0
PRV51170,16,8,8,145820,9113.75,57000,16322.149317211055,16,8,3.125,72.8125,5.5,0.5,8544.0,1.0,2.0,0.5,1
PRV51171,59,0,59,13820,234.23728813559322,3300,505.2114729286399,59,38,1.576271186440678,72.88135593220339,2.6440677966101696,0.0,200.0,1.0,1.5526315789473684,0.0,0
PRV51173,22,7,15,96290,4376.818181818182,29000,7733.495104853725,21,12,4.318181818181818,73.04545454545455,4.045454545454546,0.36363636363636365,7676.0,1.0476190476190477,1.8333333333333333,0.3181818181818182,1
PRV51175,41,0,41,9650,235.3658536585366,2100,417.4691459316221,39,21,0.6585365853658537,71.46341463414635,2.5365853658536586,0.0,90.0,1.0512820512820513,1.9523809523809523,0.0,0
PRV51176,445,0,445,145980,328.0449438202247,7500,703.2620247482307,399,128,2.0651685393258425,72.88764044943821,2.5213483146067417,0.0,870.0,1.1152882205513786,3.4765625,0.0,0
PRV51178,65,34,31,431180,6633.538461538462,43000,9616.349104319883,64,19,4.523076923076923,71.01538461538462,5.476923076923077,0.4153846153846154,36602.0,1.015625,3.4210526315789473,0.5230769230769231,1
PRV51179,26,0,26,5000,192.30769230769232,1400,310.19100815217314,26,14,0.8076923076923077,70.26923076923077,3.230769230769231,0.0,0.0,1.0,1.8571428571428572,0.0,0
PRV51180,129,2,127,94240,730.5426356589147,41000,3674.618030761308,86,3,1.6124031007751938,73.86821705426357,2.7364341085271318,0.007751937984496124,2416.0,1.5,43.0,0.015503875968992248,0
PRV51181,10,0,10,2150,215.0,800,275.8522148623143,10,5,2.6,77.4,1.9,0.0,0.0,1.0,2.0,0.0,0
PRV51183,113,41,72,355790,3148.5840707964603,38000,6804.611732816713,105,8,2.504424778761062,73.28318584070796,4.380530973451328,0.21238938053097345,42790.0,1.0761904761904761,14.125,0.36283185840707965,0
PRV51185,8,0,8,1590,198.75,500,191.045058260386,8,5,0.0,72.75,2.0,0.0,0.0,1.0,1.6,0.0,0
PRV51186,2,0,2,100,50.0,50,0.0,2,1,0.0,74.5,4.0,0.0,0.0,1.0,2.0,0.0,0
PRV51189,56,0,56,8740,156.07142857142858,1600,254.49899854368832,51,11,0.6071428571428571,73.05357142857143,2.875,0.0,240.0,1.0980392156862746,5.090909090909091,0.0,0
PRV51190,66,3,63,39310,595.6060606060606,15000,2016.9673570356358,64,23,0.6060606060606061,73.45454545454545,2.5454545454545454,0.030303030303030304,3534.0,1.03125,2.869565217391304,0.045454545454545456,0
PRV51191,32,0,32,10990,343.4375,3000,644.463314479325,30,22,3.15625,71.15625,2.71875,0.0,90.0,1.0666666666666667,1.4545454545454546,0.0,0
PRV51194,9,2,7,18540,2060.0,14000,4661.984555958975,9,5,0.6666666666666666,72.44444444444444,3.6666666666666665,0.1111111111111111,2136.0,1.0,1.8,0.2222222222222222,0
