Provider,ActualLabel,FraudProbability,RecommendedAction,TopReasons
PRV51542,Fraud,0.9985,Flag for manual review,total_claim_amount = 964660.0 (contributed +3.333 to fraud score) | num_inpatient_claims = 93.0 (contributed +1.665 to fraud score) | max_claim_amount = 74000.0 (contributed +0.509 to fraud score)
PRV54895,Fraud,0.9984,Flag for manual review,total_claim_amount = 1057610.0 (contributed +3.276 to fraud score) | total_claims = 3436.0 (contributed +3.21 to fraud score) | claims_per_patient = 2.34 (contributed +0.545 to fraud score)
PRV54894,Fraud,0.9984,Flag for manual review,total_claim_amount = 1757060.0 (contributed +3.492 to fraud score) | num_inpatient_claims = 138.0 (contributed +1.791 to fraud score) | max_claim_amount = 103000.0 (contributed +0.501 to fraud score)
PRV51471,Fraud,0.9981,Flag for manual review,total_claim_amount = 1602210.0 (contributed +3.179 to fraud score) | num_inpatient_claims = 161.0 (contributed +1.782 to fraud score) | max_claim_amount = 81000.0 (contributed +0.56 to fraud score)
PRV56011,Fraud,0.998,Flag for manual review,total_claim_amount = 741640.0 (contributed +3.282 to fraud score) | total_claims = 2833.0 (contributed +3.098 to fraud score) | claims_per_patient = 2.43 (contributed +0.566 to fraud score)
PRV55435,Fraud,0.998,Flag for manual review,total_claim_amount = 1250050.0 (contributed +3.295 to fraud score) | num_inpatient_claims = 128.0 (contributed +1.654 to fraud score) | max_claim_amount = 77000.0 (contributed +0.51 to fraud score)
PRV53712,Fraud,0.998,Flag for manual review,total_claim_amount = 1882420.0 (contributed +3.282 to fraud score) | num_inpatient_claims = 161.0 (contributed +1.658 to fraud score) | avg_claim_duration = 4.95 (contributed +0.546 to fraud score)
PRV51145,Fraud,0.9979,Flag for manual review,total_claim_amount = 1606350.0 (contributed +3.364 to fraud score) | num_inpatient_claims = 161.0 (contributed +1.516 to fraud score) | avg_claim_duration = 4.9 (contributed +0.522 to fraud score)
PRV54372,Fraud,0.9979,Flag for manual review,total_claim_amount = 673000.0 (contributed +3.118 to fraud score) | total_claims = 1617.0 (contributed +2.926 to fraud score) | claims_per_patient = 2.01 (contributed +0.597 to fraud score)
PRV56748,Fraud,0.9979,Flag for manual review,total_claim_amount = 1415780.0 (contributed +3.363 to fraud score) | num_inpatient_claims = 117.0 (contributed +1.558 to fraud score) | max_claim_amount = 79000.0 (contributed +0.585 to fraud score)
PRV55019,Fraud,0.9978,Flag for manual review,total_claim_amount = 1857020.0 (contributed +3.369 to fraud score) | num_inpatient_claims = 158.0 (contributed +1.589 to fraud score) | max_claim_amount = 57000.0 (contributed +0.294 to fraud score)
PRV51574,Fraud,0.9978,Flag for manual review,total_claim_amount = 1281810.0 (contributed +3.275 to fraud score) | total_claims = 4444.0 (contributed +3.221 to fraud score) | claims_per_patient = 2.59 (contributed +0.546 to fraud score)
PRV51378,Fraud,0.9978,Flag for manual review,total_claim_amount = 1215370.0 (contributed +3.386 to fraud score) | num_inpatient_claims = 108.0 (contributed +1.711 to fraud score) | avg_claim_duration = 4.48 (contributed +0.555 to fraud score)
PRV53706,Fraud,0.9977,Flag for manual review,total_claim_amount = 2831940.0 (contributed +3.505 to fraud score) | num_inpatient_claims = 282.0 (contributed +1.727 to fraud score) | max_claim_amount = 119000.0 (contributed +0.954 to fraud score)
PRV51459,Fraud,0.9977,Flag for manual review,total_claims = 8240.0 (contributed +3.261 to fraud score) | total_claim_amount = 2321890.0 (contributed +3.255 to fraud score) | claims_per_patient = 2.88 (contributed +0.521 to fraud score)
PRV52628,Fraud,0.9977,Flag for manual review,total_claims = 2098.0 (contributed +3.138 to fraud score) | total_claim_amount = 604120.0 (contributed +3.12 to fraud score) | claims_per_patient = 1.55 (contributed +0.48 to fraud score)
PRV51369,Fraud,0.9976,Flag for manual review,total_claims = 2083.0 (contributed +3.287 to fraud score) | total_claim_amount = 601910.0 (contributed +2.983 to fraud score) | claims_per_patient = 2.16 (contributed +0.522 to fraud score)
PRV57173,Fraud,0.9976,Flag for manual review,total_claim_amount = 1326410.0 (contributed +3.534 to fraud score) | num_inpatient_claims = 96.0 (contributed +1.698 to fraud score) | max_claim_amount = 120000.0 (contributed +0.942 to fraud score)
PRV51614,Fraud,0.9976,Flag for manual review,total_claim_amount = 1472150.0 (contributed +3.488 to fraud score) | num_inpatient_claims = 148.0 (contributed +1.673 to fraud score) | max_claim_amount = 85000.0 (contributed +0.694 to fraud score)
PRV52846,Fraud,0.9976,Flag for manual review,total_claim_amount = 2117010.0 (contributed +3.305 to fraud score) | num_inpatient_claims = 175.0 (contributed +1.669 to fraud score) | avg_claim_duration = 4.7 (contributed +0.552 to fraud score)
PRV51119,Fraud,0.9975,Flag for manual review,total_claim_amount = 1080580.0 (contributed +3.297 to fraud score) | num_inpatient_claims = 94.0 (contributed +1.789 to fraud score) | avg_claim_duration = 6.04 (contributed +0.395 to fraud score)
PRV51842,Fraud,0.9974,Flag for manual review,total_claim_amount = 1220600.0 (contributed +3.415 to fraud score) | num_inpatient_claims = 117.0 (contributed +1.578 to fraud score) | claims_per_patient = 1.32 (contributed +0.293 to fraud score)
PRV53421,Fraud,0.9974,Flag for manual review,total_claim_amount = 999910.0 (contributed +3.351 to fraud score) | num_inpatient_claims = 95.0 (contributed +1.683 to fraud score) | avg_claim_duration = 4.5 (contributed +0.434 to fraud score)
PRV54778,Fraud,0.9974,Flag for manual review,total_claim_amount = 998160.0 (contributed +3.739 to fraud score) | total_claims = 1672.0 (contributed +3.062 to fraud score) | claims_per_patient = 1.95 (contributed +0.465 to fraud score)
PRV52173,Fraud,0.9973,Flag for manual review,total_claim_amount = 1381400.0 (contributed +3.466 to fraud score) | num_inpatient_claims = 119.0 (contributed +1.748 to fraud score) | max_claim_amount = 73000.0 (contributed +0.47 to fraud score)
PRV52123,Fraud,0.9973,Flag for manual review,total_claim_amount = 1447140.0 (contributed +3.295 to fraud score) | num_inpatient_claims = 162.0 (contributed +1.663 to fraud score) | avg_claim_duration = 4.48 (contributed +0.352 to fraud score)
PRV55444,Fraud,0.9973,Flag for manual review,total_claim_amount = 1313260.0 (contributed +3.351 to fraud score) | num_inpatient_claims = 114.0 (contributed +1.702 to fraud score) | avg_claim_duration = 5.23 (contributed +0.517 to fraud score)
PRV52642,Fraud,0.9972,Flag for manual review,total_claim_amount = 1328240.0 (contributed +3.307 to fraud score) | num_inpatient_claims = 146.0 (contributed +1.602 to fraud score) | total_claims = 436.0 (contributed +0.342 to fraud score)
PRV57103,Fraud,0.9972,Flag for manual review,total_claim_amount = 892770.0 (contributed +3.298 to fraud score) | total_claims = 2049.0 (contributed +3.113 to fraud score) | claims_per_patient = 2.55 (contributed +0.406 to fraud score)
PRV51948,Fraud,0.9971,Flag for manual review,total_claim_amount = 1519950.0 (contributed +3.282 to fraud score) | num_inpatient_claims = 143.0 (contributed +1.603 to fraud score) | total_claims = 515.0 (contributed +0.426 to fraud score)
PRV51868,Fraud,0.9971,Flag for manual review,total_claim_amount = 1099710.0 (contributed +3.414 to fraud score) | num_inpatient_claims = 100.0 (contributed +1.683 to fraud score) | avg_claim_duration = 4.14 (contributed +0.419 to fraud score)
PRV52590,Fraud,0.9971,Flag for manual review,total_claim_amount = 1227580.0 (contributed +3.408 to fraud score) | num_inpatient_claims = 115.0 (contributed +1.763 to fraud score) | max_claim_amount = 89000.0 (contributed +0.284 to fraud score)
PRV52021,Fraud,0.997,Flag for manual review,total_claim_amount = 1951850.0 (contributed +3.5 to fraud score) | num_inpatient_claims = 181.0 (contributed +1.737 to fraud score) | max_claim_amount = 82000.0 (contributed +0.492 to fraud score)
PRV54986,Fraud,0.997,Flag for manual review,total_claim_amount = 1693410.0 (contributed +3.366 to fraud score) | num_inpatient_claims = 153.0 (contributed +1.734 to fraud score) | max_claim_amount = 85000.0 (contributed +0.487 to fraud score)
PRV54955,Fraud,0.997,Flag for manual review,total_claim_amount = 2134890.0 (contributed +3.374 to fraud score) | num_inpatient_claims = 205.0 (contributed +1.768 to fraud score) | avg_claim_duration = 4.31 (contributed +0.454 to fraud score)
PRV54075,Fraud,0.997,Flag for manual review,total_claim_amount = 697520.0 (contributed +3.165 to fraud score) | total_claims = 1519.0 (contributed +2.761 to fraud score) | max_claim_amount = 60000.0 (contributed +0.479 to fraud score)
PRV53242,Fraud,0.997,Flag for manual review,total_claim_amount = 1176290.0 (contributed +3.398 to fraud score) | num_inpatient_claims = 105.0 (contributed +1.64 to fraud score) | max_claim_amount = 57000.0 (contributed +0.391 to fraud score)
PRV55916,No Fraud,0.9969,Flag for manual review,total_claim_amount = 1311040.0 (contributed +3.365 to fraud score) | num_inpatient_claims = 115.0 (contributed +1.725 to fraud score) | avg_claim_duration = 5.87 (contributed +0.412 to fraud score)
PRV55230,Fraud,0.9969,Flag for manual review,total_claim_amount = 2612740.0 (contributed +3.579 to fraud score) | num_inpatient_claims = 225.0 (contributed +1.716 to fraud score) | total_claims = 565.0 (contributed +0.325 to fraud score)
PRV53786,Fraud,0.9969,Flag for manual review,total_claim_amount = 715760.0 (contributed +3.289 to fraud score) | total_claims = 1382.0 (contributed +3.069 to fraud score) | claims_per_patient = 2.57 (contributed +0.453 to fraud score)
PRV54765,Fraud,0.9968,Flag for manual review,total_claim_amount = 2000500.0 (contributed +3.292 to fraud score) | num_inpatient_claims = 196.0 (contributed +1.688 to fraud score) | avg_claim_duration = 4.51 (contributed +0.383 to fraud score)
PRV57548,Fraud,0.9967,Flag for manual review,total_claim_amount = 1069050.0 (contributed +3.321 to fraud score) | num_inpatient_claims = 107.0 (contributed +1.684 to fraud score) | max_claim_amount = 52000.0 (contributed +0.277 to fraud score)
PRV55849,Fraud,0.9967,Flag for manual review,total_claim_amount = 1283730.0 (contributed +3.211 to fraud score) | num_inpatient_claims = 128.0 (contributed +1.766 to fraud score) | max_claim_amount = 72000.0 (contributed +0.655 to fraud score)
PRV51149,Fraud,0.9967,Flag for manual review,total_claim_amount = 1120680.0 (contributed +3.346 to fraud score) | num_inpatient_claims = 116.0 (contributed +1.65 to fraud score) | avg_claim_duration = 4.69 (contributed +0.537 to fraud score)
PRV53692,Fraud,0.9967,Flag for manual review,total_claim_amount = 1397600.0 (contributed +3.279 to fraud score) | num_inpatient_claims = 146.0 (contributed +1.679 to fraud score) | max_claim_amount = 57000.0 (contributed +0.28 to fraud score)
PRV55689,Fraud,0.9965,Flag for manual review,total_claim_amount = 1226770.0 (contributed +3.385 to fraud score) | num_inpatient_claims = 104.0 (contributed +1.547 to fraud score) | total_claims = 577.0 (contributed +0.537 to fraud score)
PRV54936,Fraud,0.9965,Flag for manual review,total_claim_amount = 1139730.0 (contributed +3.41 to fraud score) | num_inpatient_claims = 131.0 (contributed +1.805 to fraud score) | max_claim_amount = 57000.0 (contributed +0.388 to fraud score)
PRV55039,Fraud,0.9964,Flag for manual review,total_claim_amount = 816200.0 (contributed +3.243 to fraud score) | total_claims = 2058.0 (contributed +3.009 to fraud score) | claims_per_patient = 3.18 (contributed +0.76 to fraud score)
PRV52100,Fraud,0.9964,Flag for manual review,total_claim_amount = 1533150.0 (contributed +3.228 to fraud score) | num_inpatient_claims = 164.0 (contributed +1.661 to fraud score) | avg_claim_duration = 5.39 (contributed +0.494 to fraud score)
PRV56647,Fraud,0.9964,Flag for manual review,total_claim_amount = 1288910.0 (contributed +3.255 to fraud score) | num_inpatient_claims = 121.0 (contributed +1.663 to fraud score) | avg_claim_duration = 4.34 (contributed +0.359 to fraud score)
PRV53769,Fraud,0.9963,Flag for manual review,total_claim_amount = 1685180.0 (contributed +3.231 to fraud score) | num_inpatient_claims = 132.0 (contributed +1.676 to fraud score) | max_claim_amount = 73000.0 (contributed +0.528 to fraud score)
PRV54367,Fraud,0.9963,Flag for manual review,total_claim_amount = 3133880.0 (contributed +3.426 to fraud score) | num_inpatient_claims = 322.0 (contributed +1.764 to fraud score) | total_claims = 636.0 (contributed +0.325 to fraud score)
PRV52064,Fraud,0.9962,Flag for manual review,total_claim_amount = 1119680.0 (contributed +3.522 to fraud score) | total_claims = 2844.0 (contributed +2.902 to fraud score) | claims_per_patient = 1.85 (contributed +0.467 to fraud score)
PRV53884,Fraud,0.9961,Flag for manual review,total_claim_amount = 1039970.0 (contributed +3.335 to fraud score) | num_inpatient_claims = 117.0 (contributed +1.695 to fraud score) | max_claim_amount = 57000.0 (contributed +0.367 to fraud score)
PRV55971,Fraud,0.9961,Flag for manual review,total_claim_amount = 1212000.0 (contributed +3.338 to fraud score) | num_inpatient_claims = 101.0 (contributed +1.635 to fraud score) | total_claims = 620.0 (contributed +0.56 to fraud score)
PRV52030,Fraud,0.9961,Flag for manual review,total_claims = 2275.0 (contributed +3.371 to fraud score) | total_claim_amount = 681360.0 (contributed +3.129 to fraud score) | claims_per_patient = 1.93 (contributed +0.444 to fraud score)
PRV55531,Fraud,0.996,Flag for manual review,total_claim_amount = 886130.0 (contributed +3.429 to fraud score) | num_inpatient_claims = 108.0 (contributed +1.65 to fraud score) | avg_claim_duration = 5.03 (contributed +0.466 to fraud score)
PRV55467,Fraud,0.996,Flag for manual review,total_claims = 1896.0 (contributed +3.306 to fraud score) | total_claim_amount = 569280.0 (contributed +2.325 to fraud score) | claims_per_patient = 2.7 (contributed +0.944 to fraud score)
PRV55209,Fraud,0.9959,Flag for manual review,total_claim_amount = 2914700.0 (contributed +3.472 to fraud score) | num_inpatient_claims = 275.0 (contributed +1.8 to fraud score) | total_claims = 762.0 (contributed +0.323 to fraud score)
PRV55004,Fraud,0.9959,Flag for manual review,total_claim_amount = 703610.0 (contributed +3.281 to fraud score) | total_claims = 2399.0 (contributed +3.212 to fraud score) | claims_per_patient = 2.42 (contributed +0.549 to fraud score)
PRV53918,Fraud,0.9958,Flag for manual review,total_claim_amount = 1014510.0 (contributed +3.318 to fraud score) | total_claims = 3588.0 (contributed +3.192 to fraud score) | claims_per_patient = 2.1 (contributed +0.622 to fraud score)
PRV51146,Fraud,0.9958,Flag for manual review,total_claim_amount = 1680910.0 (contributed +3.366 to fraud score) | num_inpatient_claims = 162.0 (contributed +1.77 to fraud score) | total_claims = 352.0 (contributed +0.353 to fraud score)
PRV56442,Fraud,0.9957,Flag for manual review,total_claim_amount = 1234150.0 (contributed +3.346 to fraud score) | total_claims = 1330.0 (contributed +3.11 to fraud score) | claims_per_patient = 2.18 (contributed +0.631 to fraud score)
PRV51390,Fraud,0.9956,Flag for manual review,total_claim_amount = 1607260.0 (contributed +3.352 to fraud score) | num_inpatient_claims = 164.0 (contributed +1.665 to fraud score) | avg_claim_duration = 4.33 (contributed +0.442 to fraud score)
PRV57172,Fraud,0.9955,Flag for manual review,total_claim_amount = 1386100.0 (contributed +3.252 to fraud score) | total_claims = 1760.0 (contributed +3.096 to fraud score) | claims_per_patient = 2.91 (contributed +0.635 to fraud score)
PRV51347,Fraud,0.9954,Flag for manual review,total_claims = 2067.0 (contributed +3.305 to fraud score) | total_claim_amount = 596900.0 (contributed +2.994 to fraud score) | claims_per_patient = 2.18 (contributed +0.491 to fraud score)
PRV53808,Fraud,0.9954,Flag for manual review,total_claim_amount = 1927250.0 (contributed +3.411 to fraud score) | num_inpatient_claims = 195.0 (contributed +1.852 to fraud score) | total_claims = 493.0 (contributed +0.317 to fraud score)
PRV52178,Fraud,0.9954,Flag for manual review,total_claim_amount = 1379590.0 (contributed +3.471 to fraud score) | num_inpatient_claims = 133.0 (contributed +1.738 to fraud score) | avg_claim_duration = 6.49 (contributed +0.284 to fraud score)
PRV51560,Fraud,0.9953,Flag for manual review,total_claim_amount = 1956190.0 (contributed +3.312 to fraud score) | num_inpatient_claims = 200.0 (contributed +1.655 to fraud score) | avg_claim_duration = 5.27 (contributed +0.395 to fraud score)
PRV55194,Fraud,0.9952,Flag for manual review,total_claim_amount = 1700900.0 (contributed +3.395 to fraud score) | num_inpatient_claims = 169.0 (contributed +1.741 to fraud score) | avg_claim_duration = 3.29 (contributed +0.386 to fraud score)
PRV52821,Fraud,0.9951,Flag for manual review,total_claim_amount = 1822970.0 (contributed +3.35 to fraud score) | num_inpatient_claims = 173.0 (contributed +1.658 to fraud score) | avg_claim_duration = 2.82 (contributed +0.365 to fraud score)
PRV52120,Fraud,0.9948,Flag for manual review,total_claim_amount = 1950720.0 (contributed +3.612 to fraud score) | num_inpatient_claims = 165.0 (contributed +1.805 to fraud score) | max_claim_amount = 57000.0 (contributed +0.328 to fraud score)
PRV52059,Fraud,0.9947,Flag for manual review,total_claims = 1287.0 (contributed +3.103 to fraud score) | total_claim_amount = 540810.0 (contributed +2.229 to fraud score) | claims_per_patient = 2.99 (contributed +0.909 to fraud score)
PRV52114,Fraud,0.9946,Flag for manual review,total_claim_amount = 1418220.0 (contributed +3.427 to fraud score) | num_inpatient_claims = 105.0 (contributed +1.775 to fraud score) | claims_per_patient = 2.0 (contributed +0.498 to fraud score)
PRV51456,No Fraud,0.9944,Flag for manual review,total_claim_amount = 1038990.0 (contributed +3.334 to fraud score) | num_inpatient_claims = 112.0 (contributed +1.662 to fraud score) | avg_claim_duration = 4.94 (contributed +0.392 to fraud score)
PRV52649,Fraud,0.9944,Flag for manual review,total_claims = 2156.0 (contributed +3.179 to fraud score) | total_claim_amount = 602190.0 (contributed +3.169 to fraud score) | claims_per_patient = 1.52 (contributed +0.412 to fraud score)
PRV52041,Fraud,0.9942,Flag for manual review,total_claims = 1885.0 (contributed +3.196 to fraud score) | total_claim_amount = 604980.0 (contributed +2.97 to fraud score) | claims_per_patient = 2.05 (contributed +0.63 to fraud score)
PRV53385,Fraud,0.994,Flag for manual review,total_claim_amount = 1362570.0 (contributed +3.427 to fraud score) | num_inpatient_claims = 106.0 (contributed +1.8 to fraud score) | total_claims = 1037.0 (contributed +0.309 to fraud score)
PRV54070,Fraud,0.994,Flag for manual review,total_claims = 1467.0 (contributed +3.025 to fraud score) | total_claim_amount = 393990.0 (contributed +2.272 to fraud score) | claims_per_patient = 1.25 (contributed +0.373 to fraud score)
PRV57306,Fraud,0.9939,Flag for manual review,total_claim_amount = 629460.0 (contributed +3.182 to fraud score) | total_claims = 2315.0 (contributed +3.135 to fraud score) | claims_per_patient = 1.65 (contributed +0.424 to fraud score)
PRV56575,Fraud,0.9937,Flag for manual review,total_claim_amount = 1154530.0 (contributed +3.46 to fraud score) | num_inpatient_claims = 113.0 (contributed +1.658 to fraud score) | total_claims = 830.0 (contributed +0.311 to fraud score)
PRV52066,Fraud,0.993,Flag for manual review,total_claims = 1455.0 (contributed +3.28 to fraud score) | total_claim_amount = 386530.0 (contributed +2.122 to fraud score) | claims_per_patient = 2.31 (contributed +0.572 to fraud score)
PRV52903,Fraud,0.9929,Flag for manual review,total_claim_amount = 1568110.0 (contributed +3.355 to fraud score) | num_inpatient_claims = 167.0 (contributed +1.779 to fraud score) | avg_claim_duration = 5.08 (contributed +0.382 to fraud score)
PRV54258,Fraud,0.9928,Flag for manual review,total_claim_amount = 1217250.0 (contributed +3.313 to fraud score) | num_inpatient_claims = 118.0 (contributed +1.749 to fraud score) | max_claim_amount = 57000.0 (contributed +0.291 to fraud score)
PRV55483,Fraud,0.9923,Flag for manual review,total_claim_amount = 778040.0 (contributed +3.633 to fraud score) | claims_per_patient = 1.27 (contributed +0.53 to fraud score) | avg_claim_duration = 5.0 (contributed +0.485 to fraud score)
PRV51501,Fraud,0.9923,Flag for manual review,total_claim_amount = 2071310.0 (contributed +3.336 to fraud score) | num_inpatient_claims = 223.0 (contributed +1.744 to fraud score) | avg_claim_duration = 5.46 (contributed +0.238 to fraud score)
PRV52135,Fraud,0.9922,Flag for manual review,total_claim_amount = 1825550.0 (contributed +3.515 to fraud score) | num_inpatient_claims = 210.0 (contributed +1.654 to fraud score) | avg_claim_duration = 4.12 (contributed +0.24 to fraud score)
PRV52065,Fraud,0.992,Flag for manual review,total_claim_amount = 1250280.0 (contributed +3.258 to fraud score) | num_inpatient_claims = 116.0 (contributed +1.806 to fraud score) | max_claim_amount = 69000.0 (contributed +0.582 to fraud score)
PRV56007,Fraud,0.9918,Flag for manual review,total_claim_amount = 836930.0 (contributed +3.46 to fraud score) | max_claim_amount = 73000.0 (contributed +0.566 to fraud score) | avg_claim_duration = 4.95 (contributed +0.507 to fraud score)
PRV55172,Fraud,0.9918,Flag for manual review,total_claim_amount = 727600.0 (contributed +3.27 to fraud score) | max_claim_amount = 125000.0 (contributed +0.972 to fraud score) | total_deductible_paid = 58678.0 (contributed +0.242 to fraud score)
PRV51480,Fraud,0.9918,Flag for manual review,total_claims = 1924.0 (contributed +3.286 to fraud score) | total_claim_amount = 557880.0 (contributed +2.282 to fraud score) | claims_per_patient = 2.53 (contributed +0.575 to fraud score)
PRV51567,Fraud,0.9916,Flag for manual review,total_claims = 1632.0 (contributed +3.34 to fraud score) | total_claim_amount = 465400.0 (contributed +2.152 to fraud score) | claims_per_patient = 1.97 (contributed +0.419 to fraud score)
PRV52077,Fraud,0.9912,Flag for manual review,total_claim_amount = 1364150.0 (contributed +3.445 to fraud score) | num_inpatient_claims = 104.0 (contributed +1.973 to fraud score) | max_claim_amount = 112000.0 (contributed +0.375 to fraud score)
PRV57502,Fraud,0.9903,Flag for manual review,total_claim_amount = 1197550.0 (contributed +3.507 to fraud score) | num_inpatient_claims = 114.0 (contributed +1.682 to fraud score) | max_claim_amount = 57000.0 (contributed +0.239 to fraud score)
PRV55049,Fraud,0.99,Flag for manual review,total_claim_amount = 725150.0 (contributed +3.66 to fraud score) | claims_per_patient = 1.26 (contributed +0.53 to fraud score) | max_claim_amount = 49000.0 (contributed +0.222 to fraud score)
PRV54786,Fraud,0.9896,Flag for manual review,total_claims = 1316.0 (contributed +3.184 to fraud score) | total_claim_amount = 415900.0 (contributed +2.102 to fraud score) | claims_per_patient = 1.89 (contributed +0.389 to fraud score)
PRV54837,Fraud,0.9894,Flag for manual review,total_claims = 1843.0 (contributed +3.445 to fraud score) | total_claim_amount = 524060.0 (contributed +2.071 to fraud score) | claims_per_patient = 2.53 (contributed +0.673 to fraud score)
PRV56008,Fraud,0.9893,Flag for manual review,total_claims = 1370.0 (contributed +3.334 to fraud score) | total_claim_amount = 476600.0 (contributed +2.109 to fraud score) | claims_per_patient = 2.0 (contributed +0.414 to fraud score)
PRV56444,Fraud,0.9892,Flag for manual review,total_claims = 1317.0 (contributed +3.163 to fraud score) | total_claim_amount = 383140.0 (contributed +2.277 to fraud score) | claims_per_patient = 1.67 (contributed +0.355 to fraud score)
PRV56689,Fraud,0.9892,Flag for manual review,total_claims = 1794.0 (contributed +3.225 to fraud score) | total_claim_amount = 505530.0 (contributed +2.096 to fraud score) | claims_per_patient = 2.25 (contributed +0.632 to fraud score)
PRV53961,Fraud,0.989,Flag for manual review,total_claim_amount = 811460.0 (contributed +3.422 to fraud score) | num_inpatient_claims = 97.0 (contributed +1.786 to fraud score) | max_claim_amount = 57000.0 (contributed +0.222 to fraud score)
PRV55676,Fraud,0.9889,Flag for manual review,total_claim_amount = 1040300.0 (contributed +3.308 to fraud score) | num_inpatient_claims = 115.0 (contributed +1.641 to fraud score) | avg_claim_duration = 3.31 (contributed +0.179 to fraud score)
PRV51836,Fraud,0.9884,Flag for manual review,total_claims = 1794.0 (contributed +3.291 to fraud score) | total_claim_amount = 505000.0 (contributed +2.056 to fraud score) | claims_per_patient = 2.79 (contributed +0.618 to fraud score)
PRV52574,Fraud,0.9878,Flag for manual review,total_claim_amount = 1533830.0 (contributed +3.216 to fraud score) | num_inpatient_claims = 146.0 (contributed +1.627 to fraud score) | claims_per_patient = 1.25 (contributed +0.346 to fraud score)
PRV53895,Fraud,0.9876,Flag for manual review,total_claims = 1273.0 (contributed +3.28 to fraud score) | total_claim_amount = 401380.0 (contributed +2.119 to fraud score) | claims_per_patient = 2.21 (contributed +0.659 to fraud score)
PRV56225,Fraud,0.9874,Flag for manual review,total_claim_amount = 761100.0 (contributed +3.502 to fraud score) | max_claim_amount = 74000.0 (contributed +0.584 to fraud score) | total_claims = 588.0 (contributed +0.555 to fraud score)
PRV51433,Fraud,0.9872,Flag for manual review,total_claims = 1610.0 (contributed +3.124 to fraud score) | total_claim_amount = 454630.0 (contributed +2.155 to fraud score) | claims_per_patient = 1.87 (contributed +0.377 to fraud score)
PRV54966,Fraud,0.9865,Flag for manual review,total_claims = 1796.0 (contributed +3.205 to fraud score) | total_claim_amount = 502010.0 (contributed +2.134 to fraud score) | claims_per_patient = 1.39 (contributed +0.202 to fraud score)
